"Date","Price","Open","High","Low","Vol.","Change %"
"20/04/2026","24,382.32","24,417.53","24,435.22","24,221.90","977.33M","-0.35%"
"17/04/2026","24,468.48","24,338.01","24,519.51","24,286.47","1.87B","1.52%"
"16/04/2026","24,102.70","24,062.45","24,156.18","23,894.91","1.59B","0.36%"
"15/04/2026","24,016.02","23,688.12","24,026.56","23,672.26","1.58B","1.59%"
"14/04/2026","23,639.08","23,331.50","23,639.08","23,331.50","1.52B","1.96%"
"13/04/2026","23,183.74","22,849.23","23,187.96","22,795.82","1.43B","1.23%"
"10/04/2026","22,902.89","22,913.91","23,011.77","22,845.05","1.37B","0.35%"
"09/04/2026","22,822.42","22,646.35","22,836.75","22,529.21","1.47B","0.83%"
"08/04/2026","22,634.99","22,821.21","22,821.21","22,501.28","1.82B","2.80%"
"07/04/2026","22,017.85","21,927.09","22,024.90","21,611.00","1.45B","0.10%"
"06/04/2026","21,996.34","21,939.80","22,052.41","21,864.50","1.30B","0.54%"
"02/04/2026","21,879.18","21,472.52","21,906.48","21,371.32","1.39B","0.18%"
"01/04/2026","21,840.95","21,742.79","21,983.07","21,723.72","1.49B","1.16%"
"31/03/2026","21,590.63","21,064.33","21,642.62","21,063.38","1.99B","3.83%"
"30/03/2026","20,794.64","21,096.24","21,139.72","20,690.25","1.58B","-0.73%"
"27/03/2026","20,948.36","21,287.19","21,293.50","20,909.93","1.47B","-2.15%"
"26/03/2026","21,408.08","21,693.18","21,823.58","21,395.77","1.50B","-2.38%"
"25/03/2026","21,929.82","22,006.43","22,093.18","21,865.46","1.48B","0.77%"
"24/03/2026","21,761.89","21,807.60","21,916.16","21,712.04","1.56B","-0.84%"
"23/03/2026","21,946.76","21,995.78","22,189.34","21,865.80","1.67B","1.38%"
"20/03/2026","21,647.61","21,989.33","21,997.09","21,522.75","4.16B","-2.01%"
"19/03/2026","22,090.69","21,871.04","22,187.06","21,851.05","1.46B","-0.28%"
"18/03/2026","22,152.42","22,421.96","22,461.76","22,144.76","1.59B","-1.46%"
"17/03/2026","22,479.53","22,458.03","22,569.64","22,409.07","1.40B","0.47%"
